Exp.,D3,D2,D1,WBUF,PSUM,LUT,FF,BRAM36,DSP,Frequency,Device,LUTRatio,FFRatio,BRAMRatio,DSPRatio
1,40,5,6,1024,2048,78806,109440,1000,1200,677.05,xcvu125,0.1100,0.1018,0.3968,1.0000
2,30,5,8,1024,2048,73570,92580,900,1200,634.52,xcvu125,0.1027,0.0861,0.3571,1.0000
3,20,5,12,1024,2048,62471,75020,800,1200,681.66,xcvu125,0.0872,0.0698,0.3175,1.0000
4,12,5,20,1024,2048,61006,64596,720,1200,673.85,xcvu125,0.0852,0.0601,0.2857,1.0000
5,8,5,30,1024,2048,59021,59080,680,1200,669.79,xcvu125,0.0824,0.0549,0.2698,1.0000
6,6,5,40,1024,2048,62813,58020,660,1200,677.05,xcvu125,0.0877,0.0540,0.2619,1.0000
7,4,5,60,1024,2048,60895,54408,640,1200,676.13,xcvu125,0.0850,0.0506,0.2540,1.0000
9,40,5,6,2048,4096,79183,109472,2000,1200,668.17,xcvu125,0.1106,0.1018,0.7937,1.0000
10,30,5,8,2048,4096,74235,92615,1800,1200,623.36,xcvu125,0.1037,0.0861,0.7143,1.0000
11,20,5,12,2048,4096,63199,75293,1600,1200,661.23,xcvu125,0.0882,0.0700,0.6349,1.0000
12,12,5,20,2048,4096,61613,65022,1440,1200,661.06,xcvu125,0.0860,0.0605,0.5714,1.0000
13,8,5,30,2048,4096,59349,59196,1360,1200,664.23,xcvu125,0.0829,0.0551,0.5397,1.0000
14,6,5,40,2048,4096,62836,58264,1320,1200,656.98,xcvu125,0.0877,0.0542,0.5238,1.0000
15,4,5,60,2048,4096,61892,54954,1280,1200,680.60,xcvu125,0.0864,0.0511,0.5079,1.0000
